The Fugitive,Harrison Ford,Andrew Davis
The Fugitive,Tommy Lee Jones,Andrew Davis
The Fugitive,Julianne Morre,Andrew Davis
Cowboys & Aliens,Daniel Craig,Jon Favreau
Cowboys & Aliens,Harrison Ford,Jon Favreau
Cowboys & Aliens,Olivia Wilde,Jon Favreau
Skyfall,Daniel Craig,Sam Mendes
Skyfall,Javier Bardem,Sam Mendes
Skyfall,Naomie Harris,Sam Mendes
Raiders of the Lost Ark,Harrison Ford,Steven Spielberg
Raiders of the Lost Ark,Karen Allen,Steven Spielberg
Jaws,Roy Schneider,Steven Spielberg
Jaws,Richard Dreyfuss,Steven Spielberg
Jaws,Lorraine Gary,Steven Spielberg
Jurrasic Park,Sam Neill,Steven Spielberg
Jurrasic Park,Laura Dern,Steven Spielberg
